round_number,round_start_date,round_end_date,num_contributions,num_unique_contributors,crowdfund_amount_contributions_usd
1,2019-01-31,2019-02-14,128,56,13661.072955600000590885
2,2019-03-25,2019-04-18,192,91,58544.424120869676134465
3,2019-09-14,2019-10-03,1898,450,95114.909074081362776308
4,2020-01-05,2020-01-20,4798,1011,102433.444383344278254167
5,2020-03-22,2020-04-04,5351,1330,89532.256937305868616533
6,2020-06-15,2020-07-02,8296,1367,183328.532301158348438285
7,2020-09-13,2020-10-02,12310,1380,277574.661718528269799370
8,2020-12-01,2020-12-17,22950,4648,520060.012481403229111599
9,2021-03-09,2021-03-25,153218,11939,1128582.272651185552200409
10,2021-06-16,2021-07-01,274571,14474,1048069.519803519448336957
11,2021-09-08,2021-09-23,403236,16523,1479815.915697228094830342
12,2021-12-01,2021-12-16,384914,26447,2789155.270924999997981909
13,2022-03-09,2022-03-24,257939,15807,1318812.540044900035241349
14,2022-06-08,2022-06-23,587101,43742,1839375.694600067622560007
15,2022-09-07,2022-09-22,344408,32809,1204772.179540425328444758
